活動分類（隊）,業務分類,業務内容（例）,業務単価（円/h）
介護DXで包括の未来を応援し隊,★ 介護DX_スポンサー対応（一般業務）,介護DX展示会サポート / セミナー企画・登壇 / 記事監修・執筆,3000
介護DXで包括の未来を応援し隊,★ 介護DX_法人内MTG,各隊・各PJのMTG,2500
シン・もっと寄付を集め隊,タダレク関連,出演者調整・打合せ / LP・フォーム制作 / 司会・Zoomホスト,3000
シン・もっと寄付を集め隊,その他（収益事業）,ファンドレイジング / イベント出展（収益） / もっと寄付を集め隊,3000
シン・もっと寄付を集め隊,★ シン寄付_スポンサー対応（PM業務）,プロジェクト全体の進捗管理 / メンバーへのディレクション / 社外担当者対応,4000
シン・もっと寄付を集め隊,★ シン寄付_スポンサー対応（一般業務）,展示会サポート / セミナー企画・登壇 / 記事監修・執筆,3000
シン・もっと寄付を集め隊,★ シン寄付_広報関連,寄付集めのための広報・PR・SNS活動,3000
シン・もっと寄付を集め隊,★ シン寄付_発送業務,寄付者への御礼状・領収書の発送,2000
シン・もっと寄付を集め隊,★ シン寄付_法人内MTG,各隊・各PJのMTG,2500
神奈川県事業,★ 神奈川_行政事業（共通）,神奈川県介護ロボット事業 / 行政委託事業全般,5000
神奈川県事業,★ 神奈川_行政事業（PM担当者以上）,神奈川県事業PM・リーダー業務,6000
神奈川県事業,★ 神奈川_法人内MTG,各隊・各PJのMTG,5000
神奈川県事業,★ 神奈川_移動時間,神奈川県事業にかかる移動時間,1500
神奈川県事業,★ 神奈川_自家用車使用,自家用車を使用した移動（30円/km）,30
